Project,Approximate Portfolio,Approximate Sub-Portfolio,Confidence,Classification Note
"3M Coding and Reimbursement","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"3M Core Grouping Server","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"3M Health Info Systems_ Connexion","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"3M Modal","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
3Mensio,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AAI HealthCare - T-Stat","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Abbott - ARCHITECT i1000SR & Alinity i Analyzer","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Abbott - Ensite X Mapping System",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Abbott - Heart Failure Monitors System CardioMEMS",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Abbott - RALS","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
accessiBe,"Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AGFA NS Instant GENRAD Imaging","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AGFA Pocus","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AgileMD eCART Clinical Deterioration Suite","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AGS HIM Managed Service","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
AGS_Fax_indexing,"Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AH Redmond - Legacy Camera","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AHU Data Center Migration","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Aidoc - Aidoc aiOS","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Alertus,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Alliance - Intelerad","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
AlloSeq,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Amazon - Just Walk Out","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Ambu Inc_ aView2 Advance endoscopy platform","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"American College of Radiology - TRIAD","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"AmeriSourceBergen - AB Med Tray","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Amico - Amico Alarm Panel","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
AMTELCO,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Andgo System - Andgo","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Antigen Plus","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"APHL - Detor (AIMS)","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Applied Science - HemoFlow 500xs","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
archived,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Arthrex - Synergy.Net","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Articulate - Articulate360","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Atellica RMR","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
AvaSure,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Axiom,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Axon,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Barco,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Baxter,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BD Arctic Sun","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"BD Artic Sun Temp management","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BD Codonics","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BD Codonics SLS","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BD Pyxis","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Beckman Coulter Inc - DXI 600","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Beckman Coulter Inc. - Biomek NGeniuS","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BeckmanCoulter - Kaluza C","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Becton Dickinson (BD) - SiteRite 9 Ultrasound System","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Besler - Easy Work Papers","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"BeyondTrust EPM POC","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
